BibNumber,ItemBarcode,ItemType,Collection,CallNumber,CheckoutDateTime
2176667,0010034110212,jcbk,ncfic,J ROWLING,12/23/2007 01:37:00 PM
2410427,0010057049859,jcbk,ncfic,J ROWLING,11/29/2007 03:53:00 PM
2410427,0010058790360,jcbk,ncfic,J ROWLING,07/27/2007 01:40:00 PM
2410427,0010056947582,jcbk,ncfic,J ROWLING,07/23/2007 06:10:00 PM
2410427,0010057262387,jcbk,ncfic,J ROWLING,07/24/2007 09:59:00 AM
1886970,0010051467560,jcbk,ccfic,J ROWLING,07/05/2007 11:55:00 AM
1886970,0010044385325,jcbk,ncfic,J ROWLING,07/26/2007 06:36:00 PM
1842723,0010050862712,jcbk,ncfic,J ROWLING,05/12/2007 05:21:00 PM
2277368,0010051164332,jcbk,ncfic,J ROWLING2005,08/11/2007 11:23:00 AM
2410427,0010057942418,jcbk,ncfic,J ROWLING,07/24/2007 11:37:00 AM
2205013,0010058449389,jcbk,nclp,J ROWLING,11/02/2007 01:05:00 PM
1842723,0010051306412,jcbk,ncfic,J ROWLING,04/23/2007 01:49:00 PM
2277368,0010051161700,jcbk,ncfic,J ROWLING2005,07/02/2007 04:01:00 PM
2410427,0010056850638,jcbk,ncfic,J ROWLING,08/09/2007 10:43:00 AM
1894708,0010056970162,jcbk,ncfic,J ROWLING,10/04/2007 02:04:00 PM
2176667,0010045792206,jcbk,ncfic,J ROWLING,02/13/2007 04:22:00 PM
1842723,0010047883771,jcbk,ncfic,J ROWLING,04/17/2007 05:50:00 PM
1965109,0010052827226,jcbk,ncfic,J ROWLING,04/30/2007 04:34:00 PM
2277368,0010051161874,jcbk,ncfic,J ROWLING2005,02/06/2007 07:52:00 PM
2410427,0010057942277,jcbk,ncfic,J ROWLING,09/15/2007 05:31:00 PM
2410427,0010056947814,jcbk,ncfic,J ROWLING,10/31/2007 10:17:00 AM
1894708,0010051380185,jcbk,ncfic,J ROWLING,02/11/2007 03:27:00 PM
2410427,0010056850661,jcbk,ncfic,J ROWLING,08/24/2007 02:22:00 PM
1886970,0010057928292,jcbk,ccfic,J ROWLING,06/21/2007 03:36:00 PM
2277368,0010051161395,jcbk,ccfic,J ROWLING2005,12/12/2007 10:23:00 AM
2205013,0010058449348,jcbk,nclp,J ROWLING,09/22/2007 04:51:00 PM
2277368,0010051162237,jcbk,ncfic,J ROWLING2005,07/05/2007 01:24:00 PM
1886970,0010041223446,jcbk,ncfic,J ROWLING,01/06/2007 02:44:00 PM
2410427,0010057942285,jcbk,ncfic,J ROWLING,12/01/2007 12:17:00 PM
2277368,0010051161205,jcbk,ncfic,J ROWLING2005,03/16/2007 05:58:00 PM
2176667,0010046008511,jcbk,ncfic,J ROWLING,03/13/2007 07:05:00 PM
2277368,0010051161528,jcbk,ncfic,J ROWLING2005,03/07/2007 01:20:00 PM
2277368,0010051162252,jcbk,ncfic,J ROWLING2005,08/27/2007 07:05:00 PM
2410427,0010056947541,jcbk,ncfic,J ROWLING,10/22/2007 02:33:00 PM
1894708,0010057358821,jcbk,ccfic,J ROWLING,12/11/2007 10:54:00 AM
2277368,0010051161155,jcbk,ncfic,J ROWLING2005,05/05/2007 03:49:00 PM
2277368,0010051162203,jcbk,ncfic,J ROWLING2005,11/17/2007 12:00:00 PM
1894708,0010051380151,jcbk,ccfic,J ROWLING,01/21/2007 02:01:00 PM
2277368,0010051161874,jcbk,ncfic,J ROWLING2005,11/14/2007 01:59:00 PM
2277368,0010051165842,jcbk,ncfic,J ROWLING2005,04/23/2007 02:11:00 PM
1886970,0010051806478,jcbk,ncfic,J ROWLING,05/02/2007 11:05:00 AM
1842723,0010058081315,jcbk,ncfic,J ROWLING,04/26/2007 12:30:00 PM
2410427,0010057942731,jcbk,ncfic,J ROWLING,08/25/2007 02:53:00 PM
2277368,0010051165727,jcbk,ncfic,J ROWLING2005,01/08/2007 05:16:00 PM
1842723,0010051306305,jcbk,ncfic,J ROWLING,02/12/2007 05:42:00 PM
2277368,0010051165842,jcbk,ncfic,J ROWLING2005,02/17/2007 12:03:00 PM
2410427,0010057049719,jcbk,ncfic,J ROWLING,09/16/2007 03:22:00 PM
2410427,0010056947988,jcbk,ncfic,J ROWLING,07/24/2007 03:04:00 PM
2176667,0010046007778,jcbk,ncfic,J ROWLING,06/20/2007 06:01:00 PM
1965109,0010057829623,jcbk,ccfic,J ROWLING,09/29/2007 04:21:00 PM
1886970,0010041222919,jcbk,ncfic,J ROWLING,06/27/2007 11:46:00 AM
2277368,0010051163532,jcbk,ncfic,J ROWLING2005,08/21/2007 06:04:00 PM
2410427,0010057942806,jcbk,ncfic,J ROWLING,11/05/2007 02:00:00 PM
1894708,0010051380151,jcbk,ccfic,J ROWLING,03/06/2007 01:12:00 PM
2410427,0010056947780,jcbk,ccfic,J ROWLING,07/25/2007 04:04:00 PM
2410427,0010057050048,jcbk,ncfic,J ROWLING,09/17/2007 05:42:00 PM
1886970,0010057464116,jcbk,ccfic,J ROWLING,10/16/2007 12:42:00 PM
2410427,0010056947657,jcbk,ncfic,J ROWLING,11/17/2007 03:55:00 PM
2277368,0010051165842,jcbk,ncfic,J ROWLING2005,09/25/2007 04:29:00 PM
1965109,0010048375850,jcbk,ncfic,J ROWLING,05/02/2007 05:36:00 PM
1842723,0010051306289,jcbk,ncfic,J ROWLING,07/14/2007 12:19:00 PM
1886970,0010051470820,jcbk,ccfic,J ROWLING,08/04/2007 03:13:00 PM
2027530,0010039703466,jcbk,ncpb,J ROWLING,06/11/2007 02:23:00 PM
2410427,0010057942459,jcbk,ncfic,J ROWLING,10/22/2007 02:02:00 PM
2176667,0010045792784,jcbk,ncfic,J ROWLING,06/16/2007 05:16:00 PM
2410427,0010057942673,jcbk,ncfic,J ROWLING,08/13/2007 06:15:00 PM
2410427,0010057049800,jcbk,ncfic,J ROWLING,08/17/2007 02:26:00 PM
2277368,0010051164449,jcbk,ncfic,J ROWLING2005,07/18/2007 04:57:00 PM
2304178,0010052005492,jcbk,nclp,J ROWLING,07/10/2007 01:51:00 PM
1894708,0010035820124,jcbk,ncfic,J ROWLING,10/14/2007 12:58:00 PM
1894708,0010051872140,jcbk,ncfic,J ROWLING,04/22/2007 12:41:00 PM
2410427,0010057262445,jcbk,ncfic,J ROWLING,09/05/2007 10:18:00 AM
2277368,0010051162336,jcbk,ncfic,J ROWLING2005,07/07/2007 01:08:00 PM
1894708,0010057358847,jcbk,ncfic,J ROWLING,10/15/2007 05:50:00 PM
2277368,0010051161932,jcbk,ccfic,J ROWLING2005,07/20/2007 10:18:00 AM
2304178,0010054147300,jcbk,nclp,J ROWLING,11/30/2007 03:25:00 PM
2277368,0010051165925,jcbk,ccfic,J ROWLING2005,08/11/2007 01:21:00 PM
2410427,0010058790154,jcbk,ncfic,J ROWLING,10/23/2007 06:42:00 PM
1886970,0010048376957,jcbk,ncfic,J ROWLING,11/26/2007 01:43:00 PM
2277368,0010051161510,jcbk,ccfic,J ROWLING2005,09/06/2007 01:35:00 PM
1965109,0010048375876,jcbk,ncfic,J ROWLING,12/06/2007 03:46:00 PM
